time spent: 0.990s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.013s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.005s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.018s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.032s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.019s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.164s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.050s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.041s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.043s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.030s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.067s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.044s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.053s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.048s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.084s operations: 0 in unordered_map mode with ordering (All data)
time spent: 1.108s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.099s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.128s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.133s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.108s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.096s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.107s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.099s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.106s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.134s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.173s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.115s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.133s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.131s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.154s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.227s operations: 0 in set unorderedmap 1M with ordering (test sorted_keys)
time spent: 1.086s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.094s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.092s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.105s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.095s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.104s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.099s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.112s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.108s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.126s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.118s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.126s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.134s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.155s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.145s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.150s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.066s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.072s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.075s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.092s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.083s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.110s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.099s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.080s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.087s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.196s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.127s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.215s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.123s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.126s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.125s operations: 0 in set unorderedmap 1M with ordering (direct copy)
time spent: 1.137s operations: 0 in set unorderedmap 1M with ordering (direct copy)
